,Date,Title,Link,Director,Cast,Production,Reception,Plot,Writer,Music Director,Cinematographer,Reception Sentiment,Month,Reception Score,TSNE-2D-one,TSNE-2D-two
10,2023-02-03,Naan Kadavul Illai,/wiki/Naan_Kadavul_Illai,S. A. Chandrasekhar,"Samuthirakani,Sakshi Agarwal,Saravanan",Star Makers,"The film was released on 3 February 2023 across Tamil Nadu. A critic fromCinema Expresswrote ""mediocrity thrives in this reckless revenge drama"" and that the film was a ""self-indulgent, overlong, incoherent rehash of the SAC formula"".[7]A critic fromDina Thanthigave the film a negative review.[8]","Senthooran is a CID official who lives with his mother, wife and daughter. While he was working as a cop, he arrests murderer Veerappan. After a few years, Veerappan escapes from prison with the intention to take revenge on Senthooran and his family. Was Senthooran able to escape from Veerappan and save his family forms the crux of the story.",S. A. Chandrasekhar,Siddharth Vipin,Magesh K. Dev,-0.929,2,1,-0.636492,5.9214416
11,2023-02-03,Naan Yaar Theriyuma,,V. S. Balamurugan,"Raaj Varma, Sreenithi, Miyasree Soumya",Sri Masani Amman Pictures,,,,,,,2,5,-6.1062512,8.224941
12,2023-02-03,Run Baby Run,/wiki/Run_Baby_Run_(2023_film),Jiyen Krishnakumar,"RJ Balaji,Aishwarya Rajesh,Isha Talwar",Prince Pictures,"Logesh Ramachandran ofThe Times of Indiawho gave 3 stars out of 5 stars after reviewing the film stated that, ""Run Baby Runhas all the ingredients that a crime thriller requires but is not powerful enough to linger in our minds"".[9]Praveen Sudevan ofThe Hinduwrote ""In the end, we are left with these ‘if onlys’"".[10]Janani K ofIndia Todaywho gave 2.5 stars out of 5 stars after reviewing the film stated that, ""Run Baby Runexposes a doctored crime in the climax and one would be able to buy the twists as it comes out of nowhere"".[11]Haricharan Pudipeddi ofHindustan Timesafter reviewing the film stated that,""The supporting cast does a decent job in playing their respective parts fittingly"".[12]Navein Darshan ofCinema Expressrated the film 3 out of 5 stars and wrote ""The message Run Baby Run conveys isn't novel either as there have been a couple of films made in the recent past based on the same issue"".[13]Kirubhakar Purushothaman ofThe Indian Expressgave the film 3 out of 5 stars and wrote ""It is time heroes and filmmakers realise they need not always save the world. Sometimes saving a decent film from becoming a mediocre affair is good enough"".[14]A critic forIndia Heraldwrote that ""It would have been far more effective if the author had forced us to travel with the murderer right away"".[15]Dhanushya ofABP Liverated the film 3.5 out of 5 stars and asked would it have been better if this movie was released directly in OTT instead of watching it in theatres?  This is the opinion of the fans who have seen the film.[16]Ranjani Krishnakumar ofFilm Companionwrote thatRun Baby Runwas not a bad film: ""Far from it. It’s a passable film with handful of thrills to offer"".[17]A critic forCinema Vikatanwrote ""Run Baby Runsettles for being a conventional thriller with many logic holes and no innovative scenes"".[18]A critic fromDinamalarrated the film 2.5 out of 5 stars.[19]A critic forNews18wrote ""Run Baby Runwould have been commendable, had the narrative been carried out in a more vibrant way"".[20]",The film starts with the death of a medical student named Sophie after she falls from a building.,Jiyen Krishnakumar,Sam C. S.,S. Yuva,0.3318,2,4,0.2178059,-2.0409172
13,2023-02-03,Thalaikoothal,/wiki/Thalaikoothal_(film),Jayaprakash Radhakrishnan,"Samuthirakani,Kathir,Vasundhara",Y NOT Studios,"The film was released on 3 February 2023 across Tamil Nadu. A critic fromThe Hinduwrote that the film was ""simply outstanding"", adding that ""Jayaprakash’s poignant drama about a son’s fight to save his comatose father has brilliant performances, unbelievably great sound design, and stunning visual imagery that speaks of the value of a life"".[5]A critic fromTimes of Indiaalso gave the film a positive review, noting ""overall,Thalaikoothalis definitely a socially-relevant film and explores the practice of senicide in the most convincing way"".[6]","Pazhani is a middle-aged man who lives with his wife Kalaiselvi and daughter and cares for hisbedridden, comatose father Muthu. His father had suffered anaccident at his workplace, where he works as amasonwith Pazhani. To care for his father and attend to his needs, Pazhani stops his work and begins night shift work as anATMsecurity guard. Kalaiselvi is always angry with him and picks fights since she feels he neglects her and his family because he is always busy caring for his father. She must work at amatchstickfactory due to Pazhani's low income to support herself and her family. She is irked by the factory supervisor's attempts to woo her at her workplace. Pazhani has borrowed a large sum of money from the local moneylender, a relative, to spend on Muthu's treatment. The moneylender keeps hassling him to get the money back and settle his debts. His father-in-law suggests performingThalaikoothalon the ailing father since he's been comatose for so long and is now a burden to the family, to which Pazhani strongly disagrees. He had been consulting a localdemigodto find any cure or blessing for his father, and upon his advice, he agreed to arrange a feast for the whole village if his father's condition improved. One day, Muthu opens his eyes from acomaand starts recognizing the people around him. Pazhani is elated and borrows money from the moneylender again to arrange a feast for the whole village. He starts taking his father out to roam around and for frequent doctor visits. He also pledges his house documents secretly to the money lender to meet the expenses.",,Kannan Narayanan,Martin Donraj,0.9747,2,5,-0.38703036,-3.2039647
14,2023-02-03,The Great Indian Kitchen,/wiki/The_Great_Indian_Kitchen_(film),R. Kannan,"Aishwarya Rajesh,Rahul Ravindran,Nandakumar",RDC Media,"Logesh Ramachandran ofThe Times of Indiawho gave 3.5 stars out of 5 stars after reviewing the film stated that,""The Great Indian Kitchen has stayed true to its original, and we have nothing to complain about its execution"".[1]","An educated dancer, raised inAustralia, finds herself in an arranged marriage to a teacher in a very traditional and patriarchal family. While the domestic routine of the Wife begins in the sweet bliss of a new marriage, things begin to go down south. The drudgery of the kitchen and its many unpleasantries - cleaning, filthy utensils and leaking taps - are left to the women while the men mostly indulge themselves with their phone or yoga. The family is so patriarchal that her daughter-in-law hands the toothbrush to the father-in-law, while he is lounging by the verandah. The men eat their meals first and leaves the place a mess without concern for how the women can eat food after them. Their convenience and comfort always come before consideration for their wives. While the new bride takes a while to adjust to these new surroundings and eventually somewhat makes peace with them, her mother-in-law goes to take care of her daughter who is seven months pregnant.",SavariJeevitha Suresh Kumar,Jerry Silvester Vincent,Balasubramaniem,0.8836,2,5,-2.7723866,-3.981654
15,2023-02-10,Dada,/wiki/Dada_(2023_film),Ganesh K. Babu,"Kavin,Aparna Das,Bhagyaraj",Olympia Movies,"Logesh Balachandran ofThe Times of Indiagave 3.5/5 stars and wrote ""Dadais a well-written drama with the right mix of comedy, emotion and love.""[11]Navein Darshan ofThe New Indian Expressgave 3.5/5 stars and wrote ""The film is emotional, but is equally fun with a strong undercurrent of tasteful humour.""[12]","Manikandan and Sindhu are final-year college students and are in a relationship, but Sindhu becomespregnant, and their lives change. Mani asks Sindhu for anabortion, but she refuses, and they both rent a house. Due toalcoholism, Mani mistreats Sindhu by not paying attention to her and not caring about her. After Sindhu gives birth, Mani reaches the hospital to see Sindhu missing and leaving the baby behind. Caring for the baby, Mani names his child, Aditya and raises him to be a gentleman.",Ganesh K. Babu,Jen Martin,Ezhil Arasu K.,0.899,2,5,5.9972258,1.8091314
16,2023-02-10,Kodai,/wiki/Kodai_(film),Raajaselvam,"Karthick Singa, Anaya Lakshmi,Robo Shankar",SS Pictures,"The film was released on 10 February 2023 across Tamil Nadu. A critic fromThe HinduTamilgave the film two out of five stars, concluding that it was ""low on excitement"".[3]A reviewer fromDina Thanthinoted that the film had a good mix of all ""romance, comedy and action"".[4]A critic fromThinaboomialso gave the film a negative review.[5]","The story set in a cottage at Kodaikanal is inspired by real life incidents... Narrates as a gang robs a large donation to an orphanage for needy children and how do the protagonist and his friends recover from the disaster and the struggle which takes a dangerous twists and turn from which they recover the lost gift? in a humorous, action packed tale.",Raajaselvam,Subash Kavi,Arjunan Karthick,-0.0,2,3,-6.4653964,-3.1910722
17,2023-02-10,Koottam,,V. Barathi,"Nishanth, Manoj, Karthik, Dinesh",I Movies,,,,,,,2,5,-8.615375,2.9060829
18,2023-02-10,Ninaive Nee,,Murugan,"Ramaranjan, Sushma,Kovai Senthil",Madurai Veeran Pictures,,,,,,,2,5,-4.772661,3.0697842
19,2023-02-10,Varnashramam,/wiki/Varnashramam,Sukumar Alagarsamy,"Ramakrishnan, Cynthia Lourde, Sriram Karthik",Cynthia Production House,"The film was released on 10 February 2023 across Tamil Nadu. A critic fromDina Thanthigave the film a mixed review, while praising director Sukumar's motivations behind making the film.[2]A critic fromDinakarangave the film a negative review, citing the director could have conceived the climax differently.[3]A reviewer fromVirakesarigave the film two out of five stars, citing the film was best avoided.[4]",,,Deepan Chakravarthy,Praveena S.,0.2023,2,4,-3.1581352,5.8719935
20,2023-02-10,Vasantha Mullai,/wiki/Vasantha_Mullai,Ramanan Purushothama,"Simha,Kashmira Pardeshi,Arya",SRT Entertainments,"A critic fromTimes of Indianoted ""Bobby Simha tries his best to save this mediocre thriller"", adding "" the idea that it adopts is decent enough to grab the attention of the viewers"", ""but then, mediocre storyline and unrealistic conflicts make this an average watch"".[12]A reviewer fromCinema Expresswrote ""this well-shot film needed invested writing"".[13]","Rudhran, a man who works tirelessly for a successful career and money, embarks on a romantic journey to spend quality time with his girlfriend Nila. On the way, he stays at the Vasantha Mullai Motel, which takes him on a rollercoaster ride.",Ramanan Purushothama,Rajesh Murugesan,Gopi Amarnath,0.0772,2,3,-1.6016202,6.469853
21,2023-02-10,Vidhi Enn 3,,Broadway Sundar,"Jebasingh, Murugan, Senguttuvan",Broadway Picture Studio,,,,,,,2,5,-2.3687918,0.2382705
22,2023-02-17,Bakasuran,/wiki/Bakasuran,Mohan G. Kshatriyan,"Selvaraghavan,Natty,Radharavi",G M Film Corporation,The film was released on 17 February 2023.,"A car drives through a forest. A professor and a young girl exit the vehicle, and the man takes her to an abandoned house. He requests that the girl remove her clothes so he can havesexwith her. However, the girl begs to leave. Bheemarasu arrives; he beats up the man, kills him by smashing his head with a boulder, and impales him.",Mohan G.,Sam C. S.,Farook J. Basha,0.0,2,3,4.6749787,6.5935307
23,2023-02-17,Moondram Pournami,,Raveendhar,"Janaki Ram,Preethi Varma,Livingston",Maha Movie Makers,,,,,,,2,5,-1.3901047,-4.978929
24,2023-02-17,Vaathi,/wiki/Vaathi,Venky Atluri,"Dhanush,Samyuktha,Sai Kumar",Sithara Entertainments,Vaathireceived mixed reviews from critics.[2],"Abhiram and his friends, who are students at an educational institute run by Srinivas (Samuthirakani) are preparing for the engineering entrance examination. They come across an old box oftapescontainingmathematicsclasses with a receipt accompanying it in the name of Kumar fromSozhavaram, dating back to 2000. After inquiry, they discover that Kumar is thedistrict magistrateofKadapa, and later Kumar discloses that the man in the video is Balamurugan 'Bala' (Dhanush).",Venky Atluri,G. V. Prakash Kumar,J. Yuvaraj,0.0,2,3,-9.15336,-2.8241813
25,2023-02-24,Kuttram Purinthal,/wiki/Kuttram_Purinthal,Disney,"Aadhik Babu, Archana,Abhinaya",Amaravathy Film Studios,"The film was released on 24 February 2023 across Tamil Nadu. A critic fromDina Thanthigave the film a mixed review while praising twists introduced into the screenplay of the film.[3]A critic fromMaalai Malarnoted that ""Disney can be appreciated for taking up a current issue in society.""[citation needed]",,,K. S. Manoj,K. Gokul,0.5574,2,4,-7.81218,3.135457
26,2023-02-24,Om Vellimalai,/wiki/Om_Vellimalai,Om Vijay,"Super R. Subramanyan, Veera Subash, Anju Krishna",Superb Creations,"The film was released on 24 February 2023 across Tamil Nadu. A critic fromDina Malargave the film a mixed review, while praising some scenes from the film.[4]A critic fromThe Hindugave the film a negative review, citing the director could have conceived scenes differently.[5]A reviewer fromDina Thanthigave the film a largely positive review.[6]",,,N. R. Raghunanthan,Maniperumal,0.0516,2,3,-3.2750328,-5.737039
27,2023-02-24,Single Shankarum Smartphone Simranum,/wiki/Single_Shankarum_Smartphone_Simranum,Vignesh Sha PN,"Shiva,Megha Akash,Anju Kurian",Lark Studios,"The film was released on 24 February 2023 Worldwide. A critic fromTimes of Indiagave the film a middling review, 'If you're looking for a mindless comedy entertainer with no logic, Single Shankarum Smartphone Simranum is a good option'.[5]A reviewer fromCinema Expresswrote 'A middling film that needed better upgrades'.[6]A critic fromMaalai Malargave a  mixed review and stated that ""The director gets extra applause by beautifully framing the character of Singer Mano"".[7]"" Single Shankarum Smartphone Simranum is a fantastic choice if you're seeking stupid comedic amusement with no logic. "" said by indiaherald Critic[8]ABP Nadureviewer stated: "" A comedy film in the middle of the action and romantic films. So the single Shankar and the smartphone Simran, which come with a different story, must be watched ""[9]","Madesh, who has a Ph.D. in machine learning, develops an artificial intelligence named Simran that has advanced features and even talks like a real woman. Madesh developed it with financial support from an investor named Hamsa Gupta. Madesh's phone was stolen by two robbers. And in the struggle to save the phone from thieves, he got hurt and went into a coma.",Vignesh Sha P. N,Leon James,Arthur A Wilson,0.9477,2,5,5.4575214,9.865085
28,2023-02-24,Thugs,/wiki/Thugs_(film),Brinda,"Hridhu Haroon,Anaswara Rajan,Simha,R. K. Suresh",HR Pictures,"The film was released on 24 February 2023 across Tamil Nadu. A critic fromTimes of Indianoted it was ""a well-made prison-break drama that engages you in parts"".[6]A reviewer fromCinema Expresswrote it was ""a fairly engaging retelling with invested performances"".[7].Dinamalargave 2.5 rating out of 5.[8]Hindu Tamil Thisaicritic wrote that "" Another feature that compensates for the pace of the screenplay is Praveen Anthony's cinematography"".[9]","Sethu Padmakumar is sentenced to imprisonment for second-degree murder in the district prison of Nagercoil. On his first day, he successfully helps the prison guards foil an escape plan by a group of inmates. Consequently, the head warden, Doss, favors him. However, he is constantly tormented by the gang whose plan he spoiled. He decides to escape.",,Sam C. S.,Priyesh Gurusamy,0.3182,2,4,7.904389,5.651329
29,2023-03-03,Ariyavan,/wiki/Ariyavan,Mithran R. Jawahar,"Ishaaon,Pranali Ghogare,Daniel Balaji",MGP Mass Media,"The film was released on 3 March 2023 across Tamil Nadu. A critic fromMalalai malargave 'Director Mithran Jawahar has directed the film with a conventional story and a different screenplay. He moves the scenes briskly by differentiating the characters and setting'.[3]Critic from Times of india said 'Ariyavan may not be a complete failure, but it lacks the substance and creativity needed to truly make an impact. ' with 2.5 stars out of five stars.[4]Cinemaexpressgave a mixed  review ""nothing could salvage this film that does not have its heart in its right place"" 1 out of 5 starts.[5]Dinathanthireviewer gave a mixed review.[6]",,Mithran R. Jawahar,James VasanthanVed ShankarGiri Nandh,K. S. Vishnu Shri,-0.0005,3,3,0.80351675,10.855756
30,2023-03-03,Ayothi,/wiki/Ayothi,R. Manthira Moorthy,"Sasikumar,Yashpal Sharma,Preethi Asrani",Trident Arts,"The film was released on 3 March 2023 across Tamil Nadu. Logesh Ramachandran ofThe Times of Indiawho gave 3.5 stars out of 5 stars after reviewing the film stated that, ""Ayothi is a movie that constantly emphasises love over religion, and it's worth watching"".[7]A critic fromMaalai Malarmentioned ""He has skillfully worked among the characters. Although there are logical violations in the film, they do not seem to be major.""[8]Chandhini R ofCinema Expressrated the film 3.5 out of 5 stars and wrote ""This Sasikumar-starrer is full of heart and yet, marred by melodrama"".[9]Gopinath Rajendran critic ofThe Hinduwrote that ""Ayothipoints out the cracks in the walls of such constructs that are crumbling under the weight of their own ideologies, and in due course, asks the all-important question."".[10]","Balram an orthodoxHindufromAyodhya,Uttar Pradesh, plans a pilgrimage toRameswaram,Tamil Nadu, along with his wife Janaki, daughter Shivani, and son Sonu. On the way to Rameswaram fromMadurai Junction railway stationon the eve ofDiwali2021 (4 November), Balram picks up a fight with the cab driver Kanagu and this leads to a crash.",R. Manthira Moorthy,N. R. Raghunanthan,Madhesh Manickam,0.5719,3,4,7.2888474,1.1741453
31,2023-03-03,Bagheera,/wiki/Bagheera_(film),Adhik Ravichandran,"Prabhu Deva,Srikanth,Amyra Dastur,Gayathrie Shankar,Remya Nambeesan",Bharathan Pictures,"Bagheerareceived mixed reviews from critics.[17]Studioflicksgave 2.8/5 stars and wrote ""Bagheera is a tailor-made treat for the teens, and few scenes have the magic, but fails to be a wholesome entertainer.""[18]Ashwin Ram ofMoviecrowrated 2.5/5 stars and wrote ""What could have been a gripping youthful thriller is watered down to be an average flick due to overstuffing things. A focused single track with limited and powerful characterizations alongside the same flashback would have been neater.""[19]Prashanth Vallavan ofCinema Expressgave 2/5 stars and wrote ""While there are moments in Bagheera that massively benefit from such lighthearted treatment, there are sections of the film that are too deliberately filled with logical loopholes and careless writing.""[13]","In 2023, Bagheera is a psychopath who murders multiple girls by disguising himself in different disguises. Inspector Sai Kumar is assigned to investigate one of Bagheera's victims, where the cops find the dead bodies turned into statues. Ramya is a psychology student who conducts a case study on Bagheera. One of the twin brothers tries to commit suicide, but the other one saves him and suggests the app named Bagheera, which reveals that if a girl cheats on their man, he can file a complaint through the app, and Bagheera will kill the girl. Bagheera receives a complaint about Ramya cheating on his boyfriend Ranjith, where he begins to make her love him and disguises himself with another name. Bagheera brings them to a house located inSri Lanka, where he killed those girls and made them statues. Bagheera also brings Ramya to the same house. A blind man finds a diary written in Braille, where he reads it and hands the diary over to the cops after discovering that the owner of the diary is Bagheera.",Adhik Ravichandran,Ganesan S.,Selvakumar S. K.Abinandhan Ramanujam,0.8979,3,5,5.8351035,-2.7853858
32,2023-03-03,Kidugu,,Veera Murugan,"Kalloori Vinoth, Birla Bose, Peter Saravanan",Ramalakshmi Productions,,,,,,,3,5,-2.4001591,-3.9384506
33,2023-03-03,Pallu Padama Paathuka,/wiki/Pallu_Padama_Paathuka,Vijay Varadharaj,"Attakathi Dinesh,Sanchita Shetty,Sha Ra",Magic Rays,"Logesh Balachandran ofThe Times of Indiagave it 1.5 out of 5 stars after reviewing the film stated that, ""The film is disappointing, with a weak plot, innuendos, and homophobic dialogues. The second half is poorly written, and there is no clear picture of the gang led by Hareesh Peradi.""[7]Navein Darshan ofCinema Expressgave it 1.5 stars out of 5 and wrote, ""The zombie comedy gives horrible adult entertainers a run for their money with some alarmingly lazy writing.""[8]A critic fromDina Thanthinoted that ""Director Vijay Varadaraj has told a horror and comedy story with zombies.""[9]","The film starts with Gopi, a dubbing artist, being kidnapped by a blind rich man's henchmen, and they beat him. The blind man ordered Gopi to take him to Kunju Thanni Forest. Gopi also accepts the offer because he needs the money. Gopi took the blind man to the forest, and Gopi saw a zombie. After a few years, a group of strangers try to commit suicide by jumping from a cliff in Kunju Thanni Forest. But they share their reason for committing suicide. and they meet Mahesh, who calls them to drink alcohol. The guys started drinking, and Mahesh shares his past, including how he got arrested by the police and escaped from jail. One of the guys, named Arumai Nayagam, accidentally entered a laboratory that was filled with zombies. When the group of guys became terrified, a girl appeared and rescued them from the zombies. Her name is Sathya, and Mahesh falls for her. She gave each of the guys a bun. They eat it and fall asleep, and when they wake up, all of them have been tied up with a rope. Sathya was interested in conducting zombie research; that's why she did that. While zombies are getting close to them, Mahesh starts to pray after hearing his prayer. Sathya decides to save them, and she does. While saving them, she got bitten by a zombie, so Mahesh and his friends took her to the home of Sathya. While going to the house, Parthasarathy sacrifices his life to save Mahesh and Sathya. She injected herself with the antidote, and she tells her past. Her father's name is Rohit Sharma; he is the one who made all the mess. He was in research to make humans live after death; the project was named ""Project Cthulhu"". Rohit made a virus that made zombies, and the zombies bit Rohit. Sathya saved her father from zombies, and Rohit turned Hitler's body into a zombie. When the flashback ended, the team went out of the house, where they met Gopi, the dubbing artist. Arumai Nayagam told Mahesh to propose to her when she was alone, so he went to propose to her. While Mahesh was proposing to Sathya, Hitler's zombie army captured her and brought her to Hitler's residence. Gopi told Mahesh that Hitler thinks that Sathya is Hitler's wife because she looks like Hitler's wife. Mahesh and friends planned to save her, and they saved her by tricking Hitler's zombie. In the end, Mahesh and Sathya were united.",Vijay Varadharaj,Balamurali Balu,BalluShreyas Krishna,-0.9492,3,1,-6.5727563,2.3239381
34,2023-03-03,Vizhithelu,/wiki/Vizhithelu,A. Tamil Selvan,"Ashok Kumar,Gayatri Rema,Saravana Sakthi",Aadhavan Cine Creations,The film was released on 3 March 2023 across Tamil Nadu. A critic fromDina Thanthiwrote that director Tamil Selvan tells the story with a sense of responsibility and moves the scenes briskly to raise awareness about internet scams.[7],The film is based on online gambling and developed around the theme of internet fraud.[1][2][3],A.TamilSelvan,Nalla Thambi,Sambath Kumar.A,-0.2732,3,2,0.32695428,8.169649
35,2023-03-08,Kannitheevu,/wiki/Kannitheevu,Sundar Balu,"Varalaxmi Sarathkumar,Aishwarya Dutta,Ashna Zaveri",Krithika Production,,,,,,,3,5,-0.6969767,10.616746
36,2023-03-10,Agilan,/wiki/Agilan,N. Kalyana Krishnan,"Jayam Ravi,Priya Bhavani Shankar,Tanya Ravichandran",Screen Scene Media Entertainment,Agilanreceived mixed reviews from critics.[12],"Agilan is acontainer craneoperator who works atChennai Portand does criminal activities for adrug smuggler, Paranthaman, who works for a dangerous kingpin, Kapoor. Kapoor deals with smuggling containers of fake and genuine money. After an officer named Sarangan causes a problem with an assignment of smugglingcounterfeit moneycontainers, Agilan kills him, and his men dispose of his body inside abody bag. The union leader, Jananathan, becomes enraged at Agilan's activities and threatens to remove him from the union, but Agilan remains unfazed. Paranthaman instructs Agilan to kill three temporary workers whom he had organised to murder the union leader. Agilan and his men try to kill them, but they run to a police station under the control ofSIMadhavi.",N. Kalyanakrishnan,Sam C. S.,Vivekanand Santhosham,0.0,3,3,4.037527,-6.455636
37,2023-03-10,Beauty,/wiki/Beauty_(2023_film),Ko. Ananda Siva,"Rishi, Kareena Shah,Singamuthu",Om Jayam Theatres,"The film was released on 10 March 2023 across Tamil Nadu. A critic fromDina Thanthigave the film a mixed review while praising the climax for its twist.[5]Critics fromThinaboomiandDinamanigave the film negative reviews, while a reviewer fromVirakesarigave the film 1.5 out of 5 stars.[6][7][8]",,,Ilakiyan,R. Deepak Kumar,-0.3182,3,2,-0.6311241,-0.58455354
